2024-12-11 11:44:58,554 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/]                 - Initializing Spring embedded WebApplicationContext
2024-12-11 11:44:58,554 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     - Root WebApplicationContext: initialization completed in 1164 ms
2024-12-11 11:44:58,644 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-12-11 11:44:58,677 [main] INFO  com.zaxxer.hikari.HikariDataSource                 - HikariPool-1 - Starting...
2024-12-11 11:44:58,842 [main] INFO  com.zaxxer.hikari.HikariDataSource                 - HikariPool-1 - Start completed.
2024-12-11 11:44:58,912 [main] INFO  o.hibernate.jpa.internal.util.LogHelper            - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-12-11 11:44:58,955 [main] INFO  org.hibernate.Version                              - HHH000412: Hibernate ORM core version 5.6.15.Final
2024-12-11 11:44:59,041 [main] INFO  org.hibernate.annotations.common.Version           - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2024-12-11 11:44:59,121 [main] INFO  org.hibernate.dialect.Dialect                      - HHH000400: Using dialect: org.fatmansoft.teach.sqlite.SQLDialect
2024-12-11 11:44:59,725 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator                 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-12-11 11:44:59,734 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-12-11 11:45:00,771 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping              - Adding welcome page: class path resource [public/index.html]
2024-12-11 11:45:00,804 [main] INFO  o.s.s.web.DefaultSecurityFilterChain               - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1488d1c, org.springframework.security.web.context.SecurityContextPersistenceFilter@55e02661, org.springframework.security.web.header.HeaderWriterFilter@7afac89a, org.springframework.web.filter.CorsFilter@b21cbbf, org.springframework.security.web.authentication.logout.LogoutFilter@44b82007, org.fatmansoft.teach.security.jwt.AuthTokenFilter@7d44eab, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@549be307, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7c55e559, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@578ac0be, org.springframework.security.web.session.SessionManagementFilter@488c608a, org.springframework.security.web.access.ExceptionTranslationFilter@20a7ce0, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3c83e9ca]
2024-12-11 11:45:00,961 [main] INFO  o.apache.coyote.http11.Http11NioProtocol           - Starting ProtocolHandler ["http-nio-9090"]
2024-12-11 11:45:00,993 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer            - Tomcat started on port(s): 9090 (http) with context path ''
2024-12-11 11:45:01,001 [main] INFO  o.f.t.SpringBootSecurityJwtApplication             - Started SpringBootSecurityJwtApplication in 4.008 seconds (JVM running for 4.594)
2024-12-11 11:45:01,009 [main] INFO  o.f.teach.SystemApplicationListener                - SystemInitStart
2024-12-11 11:45:01,072 [main] INFO  o.f.teach.SystemApplicationListener                - systemInitEnd
2024-12-11 11:45:07,154 [http-nio-9090-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/]                 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-12-11 11:45:07,154 [http-nio-9090-exec-1] INFO  o.s.web.servlet.DispatcherServlet                  - Initializing Servlet 'dispatcherServlet'
2024-12-11 11:45:07,155 [http-nio-9090-exec-1] INFO  o.s.web.servlet.DispatcherServlet                  - Completed initialization in 1 ms
2024-12-11 11:45:07,308 [http-nio-9090-exec-1] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/base/uploadPhotoWeb,2022030001,2024-12-11 11:45:07,0.131
2024-12-11 11:45:07,407 [http-nio-9090-exec-6] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/base/getPhotoImageStr,2022030001,2024-12-11 11:45:07,0.028
